0.2533	70	61688	 61437	 61437	 0	 0.0000 38585
0.5955	69	61688	 61437	 61437	 0	 0.0000 92457
0.3386	73	61688	 61437	 61437	 0	 0.0000 53702
1.4771	66	61688	 61437	 61437	 0	 0.0000 233291
0.6450	62	61688	 61437	 61437	 0	 0.0000 99951
0.1944	78	61688	 61437	 61437	 0	 0.0000 30080
1.5060	69	61688	 61437	 61437	 0	 0.0000 236956
0.1552	77	61688	 61437	 61437	 0	 0.0000 24714
0.3846	68	61688	 61437	 61437	 0	 0.0000 55458
1.3494	67	61688	 61437	 61437	 0	 0.0000 210732
0.7458	70	61688	 61437	 61437	 0	 0.0000 117161
3.4491	62	61688	 61437	 61437	 0	 0.0000 536919
2.1334	69	61688	 61437	 61437	 0	 0.0000 338037
1.4465	66	61688	 61437	 61437	 0	 0.0000 228007
1.2381	63	61688	 61437	 61437	 0	 0.0000 194947
0.1189	74	61688	 61437	 61437	 0	 0.0000 18560
0.1978	75	61688	 61437	 61437	 0	 0.0000 31393
2.3253	60	61688	 61437	 61437	 0	 0.0000 368441
3.2088	65	61688	 61437	 61437	 0	 0.0000 508446
6.4147	67	61688	 61437	 61437	 0	 0.0000 991457
5.6357	63	61688	 61437	 61437	 0	 0.0000 887595
4.4128	64	61688	 61437	 61437	 0	 0.0000 687846
0.6741	65	61688	 61437	 61437	 0	 0.0000 104538
0.0949	84	61688	 61437	 61437	 0	 0.0000 14789
0.1726	80	61688	 61437	 61437	 0	 0.0000 27376
9.2626	64	61688	 61437	 61437	 0	 0.0000 1459942
2.3341	61	61688	 61437	 61437	 0	 0.0000 367734
2.2560	62	61688	 61437	 61437	 0	 0.0000 348953
1.1717	66	61688	 61437	 61437	 0	 0.0000 183777
3.8928	60	61688	 61437	 61437	 0	 0.0000 611756
