1.0191	65	45347	 45090	 45090	 0	 0.0000 187223
0.3885	70	45347	 45090	 45090	 0	 0.0000 71221
1.1051	69	45347	 45090	 45090	 0	 0.0000 203416
0.0624	75	45347	 45090	 45090	 0	 0.0000 11320
1.8657	70	45347	 45090	 45090	 0	 0.0000 339889
0.0977	73	45347	 45090	 45090	 0	 0.0000 17876
0.4861	70	45347	 45090	 45090	 0	 0.0000 86932
0.1327	73	45347	 45090	 45090	 0	 0.0000 24235
2.8969	66	45347	 45090	 45090	 0	 0.0000 526788
0.2029	73	45347	 45090	 45090	 0	 0.0000 35354
1.3349	73	45347	 45090	 45090	 0	 0.0000 244234
0.8458	71	45347	 45090	 45090	 0	 0.0000 152871
0.2751	70	45347	 45090	 45090	 0	 0.0000 49521
2.4216	67	45347	 45090	 45090	 0	 0.0000 440042
1.1771	66	45347	 45090	 45090	 0	 0.0000 215106
0.2100	70	45347	 45090	 45090	 0	 0.0000 37401
0.2519	74	45347	 45090	 45090	 0	 0.0000 46015
0.4795	71	45347	 45090	 45090	 0	 0.0000 82944
1.5480	65	45347	 45090	 45090	 0	 0.0000 277717
1.5518	68	45347	 45090	 45090	 0	 0.0000 277071
0.2611	69	45347	 45090	 45090	 0	 0.0000 46951
0.2821	70	45347	 45090	 45090	 0	 0.0000 51539
0.0554	78	45347	 45090	 45090	 0	 0.0000 9779
0.3327	74	45347	 45090	 45090	 0	 0.0000 60136
1.0904	73	45347	 45090	 45090	 0	 0.0000 196021
0.8343	69	45347	 45090	 45090	 0	 0.0000 144418
1.8161	69	45347	 45090	 45090	 0	 0.0000 316411
1.8361	67	45347	 45090	 45090	 0	 0.0000 322747
4.3344	73	45347	 45090	 45090	 0	 0.0000 768224
4.8325	68	45347	 45090	 45090	 0	 0.0000 859384
